We get to the point with an error
BCEZYFDaHIJKM	B	 M	true	 Min:12
BCEZYFDaHIJKMLNbOQRPQRSTWU	"	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	!	 U	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWU	Y	 U	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWU	F	 U	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWU	a	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	H	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	G	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	I	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	J	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	K	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWU	Ã	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	§	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	M	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	L	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWU	Â	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	¸	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	.	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	/	 U	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWU	N	 U	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWU	b	 U	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWU	O	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWU	P	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWU	Q	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWU	R	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWU	c	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWU	S	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWU	T	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTWU	U	 U	false	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTWU	V	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTWU	Â	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWU	ª	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWU	W	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWU	X	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUV	B	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUV	C	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Z	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	D	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	E	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	"	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	!	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Y	 V	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTWUV	F	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUV	a	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	H	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	G	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	I	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	J	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	K	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Ã	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	§	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	M	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	L	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Â	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	¸	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	.	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	/	 V	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUV	N	 V	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUV	b	 V	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUV	O	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUV	P	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Q	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUV	R	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWUV	c	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUV	S	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWUV	T	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWUV	U	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTWUV	V	 V	false	 Min:17
BCEZYFDaHIJKMLNbOQRPQRSTWUV	Â	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTWUV	ª	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWUV	W	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWUV	X	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	B	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	C	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Z	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	D	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	E	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	"	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	!	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Y	 X	true	 Min:28
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	F	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	a	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	H	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	G	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	I	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	J	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	K	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Ã	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	§	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	M	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	L	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Â	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	¸	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	.	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	/	 X	true	 Min:27
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	N	 X	true	 Min:26
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	b	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	O	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	P	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Q	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	R	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	c	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	S	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	T	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	U	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	V	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	Â	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	ª	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	W	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRPQRSTWUVX	X	 X	false	 Min:20
BCEZYFDaHIJKMLNbOQRS	B	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRS	C	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	Z	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	D	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	E	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	"	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	!	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRS	Y	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRS	F	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRS	a	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	H	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	G	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	I	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	J	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	K	 S	true	 Min:15
BCEZYFDaHIJKMLNbOQRS	Ã	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	§	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	M	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	L	 S	true	 Min:15
BCEZYFDaHIJKMLNbOQRS	Â	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	¸	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	.	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	/	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRS	N	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	b	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	O	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	P	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	Q	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	R	 S	true	 Min:15
BCEZYFDaHIJKMLNbOQRS	c	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	S	 S	false	 Min:15
BCEZYFDaHIJKMLNbOQRS	T	 S	true	 Min:16
BCEZYFDaHIJKMLNbOQRS	U	 S	true	 Min:17
BCEZYFDaHIJKMLNbOQRS	V	 S	true	 Min:18
BCEZYFDaHIJKMLNbOQRS	Â	 S	true	 Min:19
BCEZYFDaHIJKMLNbOQRS	ª	 S	true	 Min:20
BCEZYFDaHIJKMLNbOQRS	W	 S	true	 Min:21
BCEZYFDaHIJKMLNbOQRS	X	 S	true	 Min:22
BCEZYFDaHIJKMLNbOQRST	B	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRST	C	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	Z	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	D	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	E	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	"	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	!	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRST	Y	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRST	F	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRST	a	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	H	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	G	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	I	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	J	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	K	 T	true	 Min:16
BCEZYFDaHIJKMLNbOQRST	Ã	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	§	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	M	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	L	 T	true	 Min:16
BCEZYFDaHIJKMLNbOQRST	Â	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	¸	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	.	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	/	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRST	N	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	b	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	O	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	P	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	Q	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	R	 T	true	 Min:16
BCEZYFDaHIJKMLNbOQRST	c	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	S	 T	true	 Min:16
BCEZYFDaHIJKMLNbOQRST	T	 T	false	 Min:15
BCEZYFDaHIJKMLNbOQRST	U	 T	true	 Min:16
BCEZYFDaHIJKMLNbOQRST	V	 T	true	 Min:17
BCEZYFDaHIJKMLNbOQRST	Â	 T	true	 Min:18
BCEZYFDaHIJKMLNbOQRST	ª	 T	true	 Min:19
BCEZYFDaHIJKMLNbOQRST	W	 T	true	 Min:20
BCEZYFDaHIJKMLNbOQRST	X	 T	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTU	B	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTU	C	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	Z	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	D	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	E	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	"	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	!	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTU	Y	 U	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTU	F	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTU	a	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	H	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	G	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	I	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	J	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	K	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTU	Ã	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	§	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	M	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	L	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTU	Â	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	¸	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	.	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	/	 U	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTU	N	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTU	b	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	O	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	P	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	Q	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	R	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTU	c	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	S	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTU	T	 U	true	 Min:16
BCEZYFDaHIJKMLNbOQRSTU	U	 U	false	 Min:15
BCEZYFDaHIJKMLNbOQRSTU	V	 U	true	 Min:16
BCEZYFDaHIJKMLNbOQRSTU	Â	 U	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTU	ª	 U	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTU	W	 U	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTU	X	 U	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	B	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUV	C	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	Z	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	D	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	E	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	"	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	!	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUV	Y	 V	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUV	F	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUV	a	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	H	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	G	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	I	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	J	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	K	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUV	Ã	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	§	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	M	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	L	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUV	Â	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	¸	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	.	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	/	 V	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUV	N	 V	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUV	b	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	O	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	P	 V	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUV	Q	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	R	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUV	c	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUV	S	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUV	T	 V	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTUV	U	 V	true	 Min:16
BCEZYFDaHIJKMLNbOQRSTUV	V	 V	false	 Min:15
BCEZYFDaHIJKMLNbOQRSTUV	Â	 V	true	 Min:16
BCEZYFDaHIJKMLNbOQRSTUV	ª	 V	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTUV	W	 V	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUV	X	 V	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVW	B	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVW	C	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	Z	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	D	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	E	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	"	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	!	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVW	Y	 W	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVW	F	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVW	a	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	H	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	G	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	I	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	J	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	K	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVW	Ã	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	§	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	M	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	L	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVW	Â	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	¸	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	.	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	/	 W	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVW	N	 W	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVW	b	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	O	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	P	 W	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVW	Q	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	R	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVW	c	 W	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVW	S	 W	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVW	T	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVW	U	 W	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTUVW	V	 W	true	 Min:16
BCEZYFDaHIJKMLNbOQRSTUVW	Â	 W	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTUVW	ª	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVW	W	 W	false	 Min:17
BCEZYFDaHIJKMLNbOQRSTUVW	X	 W	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVWX	B	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWX	C	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	Z	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	D	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	E	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	"	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	!	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWX	Y	 X	true	 Min:25
BCEZYFDaHIJKMLNbOQRSTUVWX	F	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWX	a	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	H	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	G	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	I	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	J	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	K	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVWX	Ã	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	§	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	M	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	L	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVWX	Â	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	¸	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	.	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	/	 X	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWX	N	 X	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWX	b	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	O	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	P	 X	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWX	Q	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	R	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVWX	c	 X	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWX	S	 X	true	 Min:20
BCEZYFDaHIJKMLNbOQRSTUVWX	T	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVWX	U	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVWX	V	 X	true	 Min:17
BCEZYFDaHIJKMLNbOQRSTUVWX	Â	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVWX	ª	 X	true	 Min:19
BCEZYFDaHIJKMLNbOQRSTUVWX	W	 X	true	 Min:18
BCEZYFDaHIJKMLNbOQRSTUVWX	X	 X	false	 Min:17
BCEZYFDaHIJKMLNbOQRSTUVWXA	B	 A	true	 Min:25
BCEZYFDaHIJKMLNbOQRSTUVWXA	C	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	Z	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	D	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	E	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	"	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	!	 A	true	 Min:25
BCEZYFDaHIJKMLNbOQRSTUVWXA	Y	 A	true	 Min:26
BCEZYFDaHIJKMLNbOQRSTUVWXA	F	 A	true	 Min:25
BCEZYFDaHIJKMLNbOQRSTUVWXA	a	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	H	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	G	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	I	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	J	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	K	 A	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWXA	Ã	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	§	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	M	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	L	 A	true	 Min:21
BCEZYFDaHIJKMLNbOQRSTUVWXA	Â	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	¸	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	.	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	/	 A	true	 Min:25
BCEZYFDaHIJKMLNbOQRSTUVWXA	N	 A	true	 Min:24
BCEZYFDaHIJKMLNbOQRSTUVWXA	b	 A	true	 Min:23
BCEZYFDaHIJKMLNbOQRSTUVWXA	O	 A	true	 Min:22
BCEZYFDaHIJKMLNbOQRSTUVWXA	P	 A	true	 Min:23
